subject,predicate,object,original_text
arm,hit,cap,Property Damage - Dutra Industrial Plants - Fassub - Plataforma elevatória colidiu contra tree cap de ANM / Cherry picker arm hit XT tree cap
Capex_10/16/2016_Small,cut,injury,First Aid Case_ 033390X001 - Dahej Manufacturing Facility Capex_10/16/2016_Small cut injury on  hand.
worker,pick,case,"First Aid-BLADE-Beaumont ISBL Plot-Apr-20-2020 Performance worker was picking up a case of water, struck elbow."
Valve,hit,cabinent,Valve hits fire cabinent
Welder,suffer,sprain,RWC– MIDOR Refinery Expansion Project – Egypt – Alexandria – 03-01-2022- Welder suffered ankle sprain during transporting cart of gas cylinders at U 47
IP,receive,burn,FAC - IP received a minor tissue burn on right hand fingers.
employee,strike,head,"First Aid- Stephenville - 02/07/2018 - Slip and fall, employee struck his head"
Evolution,report,pain,FAT– Non-Work Related - KAOMBO PROJECT- Bourbon Evolution 803 - 26.06.2017 - Crew member report muscular pain on the right shoulder blade.
cut,leave,thumb,HSE Incident-FAT- Polarled RFO 2017_x000B_072339C001-6/6/2017- Small cut to nail bed left thumb during butchery operation
Employee,receive,plank,FAC - 61402S - Zeebrugge/BISY - 16/08/16 - Employee received a wooden plank from height
Coral,do,pain,"RWC - TOP Coral do Atlantico - Dor Lombar durante movimentação manual de carga_x000D_
RWC - TOP Coral do Atlantico - Back pain during manual cargo handling"
Tibia,strike,beam,"MHN 033968C001 - Yard 2600, ILOGS base - First Aid Case - Tibia struck againt H beam. Minor scratch - 09.01.2017"
machine,strike,up,NON Technip Owned - SCA-DA (RTA) 20 - 2529 TAP - Albania/KP 18 - 14/07/2017 -  A side boom machine  struck an empty pick-up parked on the R.O.W
Manager,suffer,injury,Non work related Case-ALNG2 PJOE - 2021_08_10 -Vendor (BH) Material Manager suffered elbow  injury due to slip inside toilet
reels,shift,fillers,"PD-Non-TFMC-operated -18.03.01-Filler reels shifted in transit, damaging fillers"
barge,touch,crane,Equipment Damage - KAOMBO - North Sea Atlantic - 30/01/17 - Bunker barge (Bridge Wing) touched 50T crane on departure
weight,make,contact,Deep Arctic - Damage Report - 106te clump weight makes contact against the protection frame of a deck pump - YME MO Phase2 - 077499C001 - Repsol
window,shatter,injuries,"Property Damage-BLADE-Beaumont ISBL Plot-Feb 3-2020 Performance worker parked in fork truck, door blown open by wind, causing window to shatter - no injuries"
Employee,twist,ankle,FAC - 63603C PPF6 New Finishing - Geleen - 05/07/16 - Employee has twisted his ankle while walking at site
Worker,hit,himself,"FAT - P76 Project - Brasil Pontal do Paranà - 13/10/2016 - Colaborador atingido na região da boca por chave combinada._x000D_
_x000D_
FAT - P76 Project - Brasil Pontal do Paranà - 13/10/2016 - Worker hit himself on his mouth with the tool"
DUSLO,CPAVOK,Cut,First Aid-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-08/02/2017-Cut on the right hand palm during cable cutting
IP,suffer,seizure,Non-Work Related - First Aid Case - IP suffered seizure at his desk
Wheel,hit,bollard,"Accident - Property Damage - TFMC - Gremp Campus S07 - EMS - RDC - January 28, 2021 - Gantry Crane Wheel hit yellow bollard during turn"
Work,relate,FAC,Non Work related FAC – Deep Explorer – 074635C001 Kraken – Enquest – Crew member struck head on weather door casing
member,strike,head,Non Work related FAC – Deep Explorer – 074635C001 Kraken – Enquest – Crew member struck head on weather door casing
TP,own,chaleur,FAC-Lyondell Basell- Non TP owned - coup de chaleur
crane,bump,crane,Jib crane bumped another jib crane while performing a lift
des,déchet,putrescibles,Environmental Incident - Office Paris - 07-02-18 - Accumulation des déchets  putrescibles
Vehicle,run,road,Vehicle ran off road
employee,hit,vent,"Property Damage - Grande Prairie WH - March 20, 2018 - A full-time employee driving a forklift inside the Grande Prairie WH location hit an air vent causing minor damage to the cover only which will need to be replaced."
Spitzer,roll,Low,Non-TFMC owned - Equipment Damage - EM Payara - Spitzer HFD - 02 June 2021 - Connector Rolled Off Pallet - Low
IP,cut,finger,IP cut finger on end of bevelled pipe
IP,receive,scratches,FA_HURL-Sindri_077625_First Aid Case # IP received  Minor scratches on his  tibialis anterior
Sideboom,cut,OHPL,NON-Technip Owned - BNJ-NM 20 - 2529 TAP Project - Greece/KP 420+700 - 13/12/2017 - Sideboom cut a low voltage OHPL
seuil,pour,threshold,IE - Le Trait - 17/05/2017 - Dépassement du seuil pour les MES sur le rejet d'eaux pluviales - Suspended material threshold exceeded on rain water release
Person,receive,scratch,First Aid case- ARCTIC LNG 2 - PJOE - 2021_12_08 Person received minor scratch on lower lip while working
Employee,drive,vehicle,"Property Damage - Fort St John FTP - January 20, 2018 - Employee driving a company vehicle on personal time backed into a personal property fence"
Vehicle,strike,Door,"Motor Vehicle Accident - Non-Project Related - Gremp Campus S05 XT Storage Area - April 25, 2019 - Contractor Vehicle Struck the Southwest S05 XT Storage Area Overhead Bay Door."
Worker,pinch,finger,MTC-MWP09-PTMI-Batam-Indonesia-27 Feb 17-Worker pinched the small finger of the Left hand while transferring a peramanent handrail from crane to scaffold platform.
Defective,deliver,equipment,Defective delivered equipment
Hyper,extend,thumb,Shell King Embayment - Accident - Shawcor Channelview - Hyper extended Thumb - IP hyperextended thumb when foot slipped on stairwell.
IP,trap,finger,IP trapped his finger between two crates on deck whilst moving them.
Trailer,hit,Truck,DI (RT08) - BMP - Bahrain - 13.10.2020 - Trailer Hit 6 Wheeler Truck while reversing
Corte,testa_x000d,Cut,"MTI - CTF Jucu - Corte na Testa_x000D_
MTI - CTF Jucu - Cut in the forehead"
seuil,pour,le,IE - Le Trait - 06/09/2018 - Dépassement du seuil pour les MES sur le rejet d'eaux industrielles - Suspended material  threshold exceeded on industrial water release
stab,discharge,Tellus22,Environmental Spill - Chevron Blind Faith 2 - Boa Sub C - Hydraulic Hot-stab discharged 4ML Tellus22
Pengerang,observe,transom,"PD - OUI JV Rapid - Pengerang, Johor - 25 September 2017 - CPP's scaffolding Inspector observed a damaged (bent) transom from a suspended scaffold"
he,strike,hand,"FA - OUI JV Rapid - Pengerang, Johor - 10 Aug 2017 - IP's hammering in wooden pegs to install soft barricades, he accidentally struck his left hand with the hammer."
Scaffolder,twist,knee,First Aid 099 - MIDOR - Egypt - 6.30.2021-  Scaffolder twist his knee on concrete slab and receive FA
tool,impact,jaws,PD- TU Inc.- (DRAPS)- 17.12.07- CNC cutting tool impacts machine jaws
Theodore,Spoolbase-,West-,Equipment Damage- Theodore Spoolbase- GA West- Phoenix - 1 Aug 2017- pulled electrical cable- Non- TFMC owner
2017-,pull,owner,Equipment Damage- Theodore Spoolbase- GA West- Phoenix - 1 Aug 2017- pulled electrical cable- Non- TFMC owner
Member,feel,Pain,Non Work Related Medical Case - Crew Member Feels Pain In His Back During Manual Handing Activity / NWR (Não Relacionado ao Trabalho) - Tripulante sente dor nas costas durante atividade de manuseio manual
implantação,cordão,perderam,"Environmental Release - Oil Leak noted From Flap 1 During Umbilical Deployment Estimated 45/50 Litres Of Shell Tellus 46 Lost To Sea
Liberação Ambiental - Vazamento de óleo observado no Flap 1 durante a implantação do cordão umbilical, Estima-se que 45/50 litros de projétil Tellus 46 se perderam no mar"
torch,catch,fire,Damage - Oxyacetylene torch caught fire due to a loose connection.
Scaffolder,leave,shoulder,RWC 08 - BMP - Bahrain - 04.08.2021 - A Scaffolder left shoulder injured due to fall of plank from height
supervisor,pinch,fingers,NON-Technip Owned - RNT-FAC 18 - 2529 TAP - Albania/ACS03 - 13/04/2020 - A supervisor pinched his right hand fingers during arranging a gate
truck,catch,line,PD - 034693C009 - Yamal LNG Project - Sabetta - 14.01.2019 - KAMAZ truck caught an electrical power cable line
Excavator,strike,welder,NON-Technip Owned - BNJ-RWDC 07 - 2529 TAP - Greece/KP 374 - 24/07/2017 - Excavator struck a welder on the back with the bucket
plate,cover,damage,Damage incident - VLS moonpool steel plate covers damage during adverse weather
UHD-24,sustain,loss,Environmental Incident - ROV UHD-24 sustained a loss of hydraulic oil from the shear cutter jumper hoses
wire,part,subsea,Deep Discoverer - Shell Carrack QA - 300626C001 - 05.02.2022 - Taut-wire parted subsea
wind,blow,hat,"The wind blew a hard hat from one of the Sea-Cargo Aberdeen Stevedores heads, which landed on the quay and was then blown into the sea before he had the opportunity to pick it up"
he,have,opportunity,"The wind blew a hard hat from one of the Sea-Cargo Aberdeen Stevedores heads, which landed on the quay and was then blown into the sea before he had the opportunity to pick it up"
Pengerang,suffer,laceration,"FA - OUI JV Rapid - Pengerang, Johor - 11 July 2017 - Worker suffered minor laceration to right hand middle finger while adjusting the position of a beam during steel structure installation from a boom lift platform"
Corte,superficial,vidro,Primeiros Socorros- Corte superficial no pé esquerdo por estilhaços de vidro
Payara,PY_216,Tom,Equipment Damage - Payara PY_216 - Noble Tom Madden- 26th February 2023 - Ruptured pressure line
it,make,contact,"Detached tag line from Subsea Tree Assembly during relocation from SRT to Subsea Tree Assembly storage area on concrete pad, resulted in module swaying causing it to make contact with another stationary Subsea Tree Assembly on the concrete pad which cause a small section of  yellow paint to scrape off."
Crane,make,contact,Minor Equipment Damage-Non-Project Specific - Guyana Service Base - 16th July 2025 - 100T Gantry Crane made contact with XT Inspection Stand
door,hit,beam,Property Damage - Non-project Specific - TechnipFMC Guyana Service Base-Forklift door hits beam of shutter door
Member,have,fall,Member of the cleaning team had a fall
technician,see,truck,"Vehicular incident. The technician, while driving the pickup in reverse, did not see a tractor-trailer truck and was struck in the back."
technician,see,truck,"Vehicular incident. The technician, while driving the pickup in reverse, did not see a tractor-trailer truck and was struck in the back."
Accident,get,damage,Car Accident got minor damage
Rebar,hit,worker,Rebar hit the Vendor worker forehead
IP,receive,cut,IP received small cut to abdomen whilst desposing of rubbish bag in general waste skip.
Minor,sprain,23.10.23,Non project related - First Aid Treatment - Evanton Spoolbase - Minor sprained ankle - 23.10.23
Personal,find,floor,Employee Personal found floor cracking near test cell.
cable,cause,spark,TIG Machine Fronius no.10 power supply cable cause spark and caught fire
transporte,garfo,externa,"Durante o transporte do garfo da empilhadeira para manutenção externa, que estava na carroceria de uma pickup da empresa H7, houve o vazamento de aproximadamente 0,5L de óleo do veículo."
óleo,do,veículo,"Durante o transporte do garfo da empilhadeira para manutenção externa, que estava na carroceria de uma pickup da empresa H7, houve o vazamento de aproximadamente 0,5L de óleo do veículo."
EXTERMIDADE,do,LEAKAGE,"VAZAMENTO DE ÁGUA COM HW PELO CAPUZ INSTALADO NA EXTERMIDADE DO UMBILICAL
WATER LEAKAGE WITH HW THROUGH THE HOOD INSTALLED AT THE END OF UMBILICAL"
manobra,do,jumbo,Vazamento de óleo hidráulico durante manobra do jumbo.
Crane,make,contact,Minor  Damage-Non-Project Specific - Guyana Service Base - 03rd August 2025 - 100T Gantry Crane made contact with SRT A Tent.
LD3785,strike,DEER,COMPANY VEHICLE LD3785 STRUCK A DEER
Crane,suffer,damage,Property Damage - Low Bay Crane suffered damage to pendant guide rail when coming together with High Bay Crane wires.
employee,strike,himself,employee strikes himself with sledge hammer
Tire,touch,wall,Tire on fork lift touched wall on Hall B.
Stavanger,have,wound,FAC - Martin Linge - Stavanger (Norway) - 05/08/19 - Person had a small wound on wrist after stumbling in the stairs
Flowline,drop,Object,Stephenville-Flowline Assembly- Dropped Object
Pinçamento,do,Pinching,"Pinçamento do dedo Médio da mão direita - FPSO Cidade de Maricá

Pinching of finger - Right Hand - Maricá FPSO"
SUV,make,contact,Wellservicer Damage Report - Deep C SUV makes contact with a container during recovery to deck - Statoil Volve Subsea Removal - 071335C001
Crane,hit,supports,ALNG2-MWP2C-Incident-02 01 2021 -Preliminary report -property damage 1000T Gantry Crane hit pipe supports while traveling
IP,have,dizziness,61298D - MHN - 9 April 2017 - Non Work Related medical referral - REM FORZA - IP has dizziness and vertigo.
PC0092,strike,VEHICLE,COMPANY VEHICLE PC0092 STRUCK A PARKED VEHICLE WHILE EXITING A PARKING LOT.
Fitter,injure,hand,FAC - 61402S - Zeebrugge/MISY - 4/01/17 - Fitter injured his hand with a grinder
ROV,crush,pipe,ROV crushed hard pipe on H-frame
esquerdo_x000D,do,Pain,"FAT - P76 Project - Brasil Pontal do Paranà - 04/03/2017 - Incômodo no joelho esquerdo_x000D_
_x000D_
FAT - P76 Project - Brasil Pontal do Paranà - 04/03/2017 - Pain in the left knee"
People,hurt,finger,People hurts his finger while handling a valve
IP,receive,fracture,MTC - IP has received a metatarsal hairline fracture
Tube,hit,Worker,"FAC-61402S-YAMAL LNG-BOMESC Yard-Tianjin-Aug.4, 2016-Scaffold Tube Hit Worker"
FAC,leave,finger,"300032C - FAC – Orsam Fabrication Site - Apowa, Ghana - 18/04/2023 – Left little finger of a banksman hit by gooseneck against a yoke frame"
Owned,suffer,attack,"Non-Technip Owned, Non-Work Related - IP suffers suspected heart attack on quayside."
knee,impact,ground,"Minor First Aid Case - Energean Karish Project – IP tripped on floor bar causing knee to impact ground causing pain - WASCO / Corinth, Athens - 24/04/2019"
Damaged,unenergize,cable,PD - LCCP - 2017 - 03 - 08 (Damaged unenergized underground electrical cable )
Capex_Dahej_12/14/2016_IP,get,injury,First Aid Case_033390X001 - Dahej Manufacturing Facility Capex_Dahej_12/14/2016_IP got scratch injury on hand finger.
operator,feel,pain,FAC - None-work related - An excavator operator has felt a pain in his back
Worker,hit,knee,"First Aid-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-28/10/2017-Worker hit the right knee (scratch) on a scaffold element due to the scaffold plank partial collapse (20 cm) at the elevation of 1,2m"
ROU12,hit,valve,PD - APSB - Reel Storage A - 05/05/2020 - Jumbo ROU12 hit haubaunage valve
Employee,lose,balance,LTI-Arctic LNG 2-NMP-26 December 2021-Employee lost balance and fall from hydraulic pallet mover
member,swell,Project,Wellservicer Non- work related - Crew member suffering swollen lower legs - PDVSA Dragon APS Project – TFO27337 - 15/10/2016
Worker,receive,bruise,NON Technip Owned - RNT-FAC 12 - 2529 TAP - Albania/ACS03 - 11/12/2018- Worker received a bruise on the leg while performing pipe jacking activity.
vehicle,make,contact,"Property Damage - Grande Prairie WH - January 30, 2018 - Company vehicle reversing in yard made contact with another company vehicle (parked); damage to bumper."
Capex_Dahej_12/17/2016_IP,get,injury,First Aid Case_033390X001 - Dahej Manufacturing Facility Capex_Dahej_12/17/2016_IP got bruise injury on hand finger.
reels,shift,fillers,"PD-Non-TFMC-operated -18.03.01-Filler reels shifted in transit, damaging fillers"
PTO,pump,failure,Equipment Damage - Moho Nord - Deep Pioneer - 14/11/16 - Port Azimuth PTO pump set failure
Crane,sustain,damage,Equipment Damage - Moho Nord - Lewek Inspector - 09/03/17 - Main Crane sustains electrical motor damage.
Theodore,Spoolbase-,2017-,Equipment Damage- Theodore Spoolbase- GA West- 24 Feb 2017- Damaged in-bound gate arm
battery,catch,fire,Property Damage - XXXX - Gul Circle Singapore - 2017-12-01 - Motorized pallet truck's battery caught fire
IP,pinch,finger,RWC - Yamal LNG Project - Sabetta - 24.11.2017 - IP pinched his finger between a box and flooring
IP,receive,bruises,FA_HURL-Sindri_077625_First Aid Case # IP received some minor bruises on his Right leg knee & arm
grinder,receive,injury,First Aid case- ARCTIC LNG 2 - PJOE - 2021_10_07 -Sublet grinder received scratch injury on forehead .
DUSLO,CPAVOK,fracture,LTI-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-25/05/2017-Right hand fracture during pipe(200kg) lifting with tirfor
DUSLO,CPAVOK,Scratch,First Aid-065806C001 - 02522 - DUSLO CPAVOK 4-Slovakia-12/07/2017-Scratch on the right hand during scaffold dismantling
Worker,cut,thumb,RWC - MARTIN LINGE - APPLY EMTUNGA Sweden - LQ construction site - 27/03/2017 - Worker cut his left thumb when using an angle grinder for cutting a steel strap
Injury-,left,finger,RWC - Personal Injury- 021036 - Prelude - 08.09.2017 - Deep Orient - Laceration to left little finger
Pengerang,perform,duties,"LTI - OUI JV Rapid - Pengerang, Johor - 18 July 2017 - IP was performing flagman duties when he was caught in the line of fire between a stationary crane and a reversing low loader."
Accident,strike,forklift,"Accident, Subsea XT Refurb, Gremp Campus S05 High Bay, 02 MAY 2018, Suspended subsea XT struck forklift while being lifted by an overhead crane."
Rigger,cut,hand,FAT - Edradour - Far Superior -  08.05.2017 - Rigger cut his hand with a knife while cutting rope
Theodore,Spoolbase-,injury,First Aid- Theodore Spoolbase- LLOG- 1 Nov 2017- Ankle injury
Helper,suffer,Shortness,First Aid 077 - MIDOR - Egypt - 2.3.2021 - Helper Suffered Shortness of Breath at U 46
vindo,para,empresa,"Acidente de Trajeto - Dutra Industrial Plants - Colaboradora sofreu queda da própria altura, na passarela da Pacheco, vindo para a empresa."
Specific_Panipat_07/01/2019_IP,receive,injury,First Aid Case_0930 - Project Specific_Panipat_07/01/2019_IP received the minor cut injury on right leg ankle
finger,touch,disk,MTC - Yamal LNG Project - Sabetta - 28.09.2016 -  the fifth finger of the gloved left hand touched the sandstone disk
airline,provide,air,Minor Equipment Damage - 073749C001 - Zennor Finlaggan - UK North Sea - Deep Discoverer - 25.March.21 – Damage to airline providing compressed air to subsea lift bags
worker,penetrate,injuries,"Property Damage-BLADE-Beaumont ISBL Plot-Apr 20-2020 ISC worker, driving a ground rod, penetrated the HDPE pipe - no injuries"
Individual,sustain,pain,61298D - MHN - Incident Notification - Non Work Related – REM FORZA – Individual sustains muscle pain in lower back
FAT_075990C001_EPCC#4_IP,receive,Injury,FAT_075990C001_EPCC#4_IP Received Minor Strain Injury on Back
Rigger,squeeze,hand,RWC – MIDOR Refinery Expansion Project – Egypt – Alexandria-12-04-2021 – Rigger squeezed his right hand between two steel beams
officer,suffer,wound,MTC– MIDOR Refinery Expansion Project – Egypt – Alexandria – 30-12-2021- HSE officer suffered a cut wound at his forehead at U 51A
sideloader,strike,grating,Forklift combi sideloader struck metal grating on transport truck
base,get,finger,"First aid treatment - Troll B Flexibles/Statfjord C Riser - CCB base, Ågotnes - 06.03.18 - Subcontractor get finger squeezed against shackle during lift"
JBF,manglore_07/09/2016_droppe,clamp,First Aid_ 063370C001_OSBL JBF Manglore_07/09/2016_Dropped scaffold clamp
da,talha,elétrica,Incidente com dano – Açu Spoolbase - Ruptura de cabo de comando da talha elétrica TT09
Atlantic,-Halten,hook,North Sea Atlantic -Halten Øst  - 300685C001 - 10 November 2024 - boat hook released to sea
he,rearrange,stock,Deep Explorer - FAT - Foreign object sensation in left eye of contractor as he was rearranging stock in a cleaning cupboard - Deep Explorer - West White Rose – 035404C001 - 08/09/2024.
Relacionado,ao,x000D,"Acidente Não Relacionado ao Trabalho - Skandi Buzios - Prenssamento de dedo em gaveta de armário no camarote _x000D_
Non-Work Related Accident - Skandi Buzios - Finger Pinched on Furniture on Accomodation"
Theodore,Spoolbase-,Damage,Equipment Damage- Theodore Spoolbase- 14 Oct 2017- Vehicle Damage from striking hand rail.
IP,receive,scratches,FA_HURL-Sindri_077625_First Aid Case # IP received minor scratches on left palm
IP,suffer,pain,Non Work Related - 000298A001 - Deep Blue - 07 Feb 2022 - IP suffers muscle pain to his back  when in his cabin (offshift)
em,manilha,de,Crew member slightly injured on left elbow after tripping on a 150Te shackle / Tripulante levemente ferido no cotovelo esquerdo após tropeçar em uma manilha de 150Te
IP,feel,discomfort,IP felt discomfort in his lower back whilst descending the TMS external ladder system
elbow,make,contact,First Aid Case - IP's right hand elbow made contact with the ROV door frame
Pengerang,touch,one,"PD - OUI JV Rapid - Pengerang, Johor - 28 September 2017 - A transformer unit slightly touched one of the crane's outrigger resulted cooler unit fin dented ."
TP,own,Scratch,FAC - Non TP owned - 03/08/2020 - ANTARES PROJECT 069799C - Jonage - Scratch on the knee while strumbling
bar,hit,lights,Spreader bar hit stern lights during recovery from subsea
Worker,rub,eye,LTI - Worker rubs eye with back of hand and causes irritation.
Sept,queimado,Hughes,Deep Star - Equipment Damage - 0077524C001 - Mero 1 - 1st Sept 2022 - 440V electrical transformer found burnt in Baker Hughes technical container / Transformador elétrico de 440V observado queimado em contêiner  da Baker Hughes
head,hit,fence,Accident in warehouse: The upper head of forklift hit the fence which protects shelves.
which,protect,shelves,Accident in warehouse: The upper head of forklift hit the fence which protects shelves.
Slip,cause,Injury,Crowbar Slip Causes Hand Injury
forklift,hit,shelves,Accident in warehouse: forklift hit the shelves
forklift,hit,header,Accident in Warehouse: forklift hit the door header.
Accident,hit,fence,Accident in Warehouse Forklift hit the exterior fence for Shelves
aid-,crce-,Shell,First aid- Theodore Spoolbase- CRCE- Shell Dover- 29 Nov 2024- Minor face injury
IP,receive,graze,IP received minor graze to cheek whilst stripping sheath
operator,get,shock,Welding operator got electrical shock
Fence,tip,cars,Fence tipped over cars at parking lot at TTI
Fence,tip,cars,Fence tipped over cars at parking lot at TTI
Energy,contact,pier,"Damage Incident. Deep Energy contacts pier whilst departing Dry Dock No.6 Damen Verolme, Rotterdam 2023"
DRIVER,back,VEHICLE,EMPLOYEE DRIVER BACKED COMPANY VEHICLE WITH TRAILER INTO OP TRAILER
pickup,leave,roadway,Snow conditions cause pickup to leave roadway and caused pickup and equipment damage
deer,hit,truck,deer hit technician truck
Forklift,strike,bottom,Forklift struck bottom of gate to workshop with forklift mast
LD5571,strike,DEER,COMPANY VEHICLE LD5571 STRUCK A DEER
operator,contact,scratch,Property Damage-BLADE-Beaumont ISBL Plot-May 1-2020 Movax operator contacted a firewater pipe stub-up - minor scratch to the Movax cab and shift of pipe - no injuries
Aug.18,hit,back,"FAC-61402S-YAMAL LNG-BOMESC Yard-Tianjin-Aug.18, 2016-Falling plate hit the back"
person,roll,ankle,Injured person rolled left ankle on barge
part,break,glass,Newland Machine Incident - flying part broke glass
activities,cause,fire,Hot work activities cause a small fire
IT,strike,VEHICLE,COMPANY VEHICLE LD5550 WAS BACKING WHEN IT STRUCK ANOTHER PARKED VEHICLE ON PAD.
Vehicle,hit,incident,Vehicle hit incident
Spill,hit,pipe,ENV - 61402S - Zeebrugge/MISY - 09/09/16 - Spill in YGS parking area - Vehicle hit a pipe
arm,tip,riggers,FAT- Aasta Hansteen-Spar Digernessundet-220717- Catepillar jack arm tipped over riggers hand causing bruise
Puncture,leave,Hand,Puncture Left Hand
Forklift,strike,pipe,Equipment Damage - MozLNG - Shawcor US - 21OCT2021 - Forklift struck pipe being carried by another forklift
Silicone,do,Wayfarer,Acidente ambiental - Base Cabiunas Macaé - Vazamento de Silicone do SCM - Aker Wayfarer
braço,do,fio,Incidente com dano em equipamento - Abalroamento entre braço do carro espalhador e trompete durante passagem de fio.
Vehicle,strike,deer,Vehicle struck deer
Operator,have,finger,"Operator had finger, shoulder, back pain and numbness"
Hidráulico,do,ROV,Vazamento Não Contido - SKB - Vazamento de Fluído Hidráulico (HW) do ROV
Estrela,do,injury,"LTI - TOP Estrela do Mar - Lesão no Pé_x000D_
LTI - TOP Estrela do Mar - Foot injury"
Employee,clean,gun,Employee was cleaning the Foam machine gun and hit the trigger
TELEHANDLER,strike,LD3994,Property Damage - TELEHANDLER STRUCK COMPANY VEHICLE LD3994
Fork,break,forklift,Fork broke on rough terrain forklift during a lift
IP,got,injury,First Aid Case_XXXX - Non Project Specific_12/28/2017_Dahej_ IP Got minor cut injury in Leg finger
WHILE,stop,INTERSECTION,"WHILE STOPPED AT AN INTERSECTION, OUR COMPANY VEHICLE LD5521 REAR ENDED THE PARTY IN FRONT OF HIM."
I,leave,finger,RWC - Yamal LNG Project - Sabetta - 23.06.2018 - Contusion wound of the I left hand finger
Puncture,left,Hand,First Aid Case -Aasta Hansteen-300617- Puncture to Left Hand
Messman,cut,finger,First Aid Case - Neptune Seagull - 075479C002 - Nordnes - 18th Nov 2021 - Messman (catering crew) cut right finger on broken drinking glass
LTI,suffer,Fracture,LTI– MIDOR Refinery Expansion Project – Egypt – Alexandria –16-08-2021- PTJ Rigger Suffered A Forehand Micro Fracture Due to Falling of Steel Sheets Clamp at D+M3 area
LD5555,strike,MOOSE,COMPANY TRUCK LD5555 STRUCK MOOSE
Truck,strike,Bollard,Vehicle Accident - Odessa- 5/14/19 - Shop Truck struck Bollard
party,drop,hangers,Third party dropped hangers while unloading.
members,suffer,BP,Wellservicer- Minor FAC- Crew members suffers minor dry burn- BP 06330C002 - 11-08-2016 06:30
damage,hit,PSV,Property damage - KAOMBO - Bourbon Explorer 502 - 19/01/2017 - Gravity base hit the PSV bump rail while being lifted by BE803 crane
Individuals,sustain,burns,"RWC – 033968C001 MOHO Nord – _x000D_
G1200 – 15 Aug 2016 – Individuals Sustain burns due to ejection of hot coating from IMPP machine"
trailer,contact,machine,Property Damage-BLADE-Beaumont ISBL Plot-Feb 13-2020 JLG being driven off trailer contacted welding machine - no injuries
car,hit,another,MDA - 61402S - Zeebrugge/MISY - 8/12/16 - one car hit another from rear
TEN,own,trauma,FAC Non TEN owned 12/10/2021 ANTARES - JONAGE - acoustic trauma
Worker,lose,balance,FAC004-076971C - NEW NAPHTHA COMPLEX EPC -Greece-22.05.2021-Worker lost his balance and landing on the ground lifted a finger nail
Scaffold,hit,Cover,Property Damage Incident _ Scaffold hit the Cover of Lighting  Fixture
worker,drink,acetone,MTC - Yamal LNG Project - Sabetta - 06.07.2017  - A worker accidentally drank acetone
which,cause,redness,Cleaning Fluid Incident - IP Sprayed Cleaning Fluid on Upper Arm which caused redness and itching.
IP,lose,footing,LTI - IP lost footing while descending stairs
durante,separação,galpão,Dedo preso entre tubos durante separação no galpão.
Shaft,hit,IP,FAC - Kristiansund - Shaft hit IP in his upper mouth and damaged teeth - 29/08/2018
Steward,cut,hand,Steward on Stornes cut his hand requiring stitches
DI,hit,barrier,DI (RTC-15) - BMP - Bahrain - 19.03.2021 - Vehicle hit barrier
FAC_077625C005_IP,got,Injury,FAC_077625C005_IP Got  Minor Bruise Injury on the Right-Hand Thumb Finger_NACPL_HRSG -1 – Captive Power Plant
bites,lower,leg,Non-Work Related - 076328C002 - Energean Karish Project - Israel - Insect bites to lower leg - 23/08/2020
Helper,suffer,fissure,RWC– MIDOR Refinery Expansion Project – Egypt – Alexandria – 17-11-2021- Helper suffered a foot fissure after slipping at Subcontractor's offices
welder,touch,pipe,NON-Technip Owned - BNJ-FAC 42 - 2529 TAP Project - Greece/KP 195- 14/11/2018 - A welder touched a warm pipe
TAP,strike,cabin,NON Technip Owned - SCA-DA 09 - 2529 TAP - Albania/Korca - 17/03/2017 -  Pay welder struck welding cabin
PROJECT,IOCL,IOCL,Incident_879 BS-IV PROJECT IOCL BARAUNI IOCL BARAUNI_068107C001
basket,clip,table,mewp basket clipped clipped table
ROV,leak,Subsea,Environmental Spill- Duva- Olympic Triton- 30.09.20- ROV leaked 2 ltr Tellus Subsea
PCD,escorregou,piso,Acidente de Trajeto - Flexibras Vitória - Colaborador PCD escorregou no piso
Lift,make,Contact,Property Damage- Phoenix Project- TechnipFMC Theodore Spoolbase- 29 August 2017-  Scissor Lift Makes Contact with Light
team,lift,iron,Rolled ankle while team lifting flowback iron
box,catch,owned,Accident - Fire - Electrical junction box on quayside catches fire - Non TechnipFMC owned
Specific_Panipat_28/12/2018_IP,receive,strain,First Aid Case_0930 - Project Specific_Panipat_28/12/2018_IP received the strain on right leg ankle
material,do,material,Dano ao patrimônio - Skandi Recife - Toque da cesta de transferência de material no berço do guindaste com posterior queda de material ao mar
Employee,mishandle,one,"Medical Treatment - Fort St John FTS - June 30, 2018 - Employee attempting to connect two pieces of pipe mishandled one and dropped onto their finger causing a small laceration."
damage,strike,deck,Equipment damage - Greater Enfield - North Sea Atlantic - 08/11/2018 -  UTH struck deck whilst turning the reel
Sindri_077625C006_IP,sustain,injury,MTI_HURL-Sindri_077625C006_IP sustained minor cut injury on his  Left Hand Index Finger
unit,impact,maniobra,"vehicular incident - Ciudad del Carmen - TechnipFMC unit impacts third vehicle during maneuver._x000D_
-----------------------------------------------_x000D_
incidente vehicular - Ciudad del Carmen - Unidad TechnipFMC impacta a vehículo tercero durante maniobra."
